French,English
chercher,search
police,police
pensais,thought
aide,help
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
façon,way
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
pardon,sorry
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
nouvelle,new
dirait,would say
terre,Earth
compte,account
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
bureau,office
